sample_id,category,rule_id,form_family,severity,field_path,rule_text,rule_expression,expert_correct,expert_notes
12,required_attachments,F1040-025-01,1040,ERROR,//Return/ReturnData/IRS1040ScheduleB,Schedule B required when taxable interest or ordinary dividends exceed 1500,If [TaxableInterestAmt] > 1500 OR [OrdinaryDividendsAmt] > 1500 Then [IRS1040ScheduleB] must be attached,,
13,required_attachments,F1040-013-01,1040,ERROR,//Return/ReturnData/IRS1040/PrimarySSN,Primary taxpayer SSN must be present and valid format,[PrimarySSN] is present AND [PrimarySSN] matches pattern '^\d{3}-\d{2}-\d{4}$',,
14,required_attachments,F1040-037-01,1040,WARNING,//Return/ReturnData/IRS1040/CharitableContributionsAmt,Charitable contributions exceeding 50 percent of AGI require Form 8283,If [CharitableContributionsAmt] > [AdjustedGrossIncomeAmt] * 0.5 Then [IRS8283] must be attached,,
15,required_attachments,F1040-015-01,1040,ERROR,//Return/ReturnData/IRS1040/PrimaryBirthDt,Primary taxpayer date of birth must be present,[PrimaryBirthDt] is present,,
16,required_attachments,F1040-026-01,1040,ERROR,//Return/ReturnData/IRS1040ScheduleC,Schedule C required when self-employment income is present,If [SelfEmploymentNetProfitAmt] != 0 Then [IRS1040ScheduleC] must be attached,,
17,required_attachments,F1040-029-01,1040,ERROR,//Return/ReturnData/IRS1116,Form 1116 required when foreign tax credit is claimed,If [ForeignTaxCreditAmt] > 0 Then [IRS1116] must be attached,,
18,required_attachments,F1040-023-01,1040,ERROR,//Return/ReturnData/IRS1040ScheduleSE,Schedule SE required when self-employment tax is present,If [SelfEmploymentTaxAmt] > 0 Then [IRS1040ScheduleSE] must be attached,,
19,required_attachments,F1040-027-01,1040,ERROR,//Return/ReturnData/IRS1040ScheduleD,Schedule D required when capital gains or losses are reported,If [CapitalGainOrLossAmt] != 0 Then [IRS1040ScheduleD] must be attached,,
20,required_attachments,F1040-021-01,1040,ERROR,//Return/ReturnData/IRS8960,Form 8960 required when net investment income tax is greater than zero,If [NetInvestmentIncomeTaxAmt] > 0 Then [IRS8960] must be attached,,
21,math_validation,F1040-006-01,1040,ERROR,//Return/ReturnData/IRS1040/OverpaymentAmt,Overpayment must equal total payments minus total tax,[OverpaymentAmt] = [TotalPaymentsAmt] - [TotalTaxAmt],,
22,math_validation,F1040-034-01,1040,WARNING,//Return/ReturnData/IRS1040/OrdinaryDividendsAmt,Ordinary dividends should reconcile with 1099-DIV amounts attached,If [IRS1099DIV] is attached Then ABS([OrdinaryDividendsAmt] - SUM([IRS1099DIV].OrdinaryDividendsAmt)) <= 1,,
23,math_validation,F1040-033-01,1040,WARNING,//Return/ReturnData/IRS1040/TaxableInterestAmt,Taxable interest should reconcile with 1099-INT amounts attached,If [IRS1099INT] is attached Then ABS([TaxableInterestAmt] - SUM([IRS1099INT].InterestIncomeAmt)) <= 1,,
24,math_validation,F1040-031-01,1040,WARNING,//Return/ReturnData/IRS1040/WagesSalariesTipsAmt,Wages reported on 1040 must reconcile with W-2 wages attached,[WagesSalariesTipsAmt] = SUM([IRS W2].WagesAmt),,
25,math_validation,F1040-009-01,1040,ERROR,//Return/ReturnData/IRS1040/DeductionsAmt,Standard or itemized deduction must match claimed type,If [ItemizedOrStandardCd] = 'S' Then [DeductionsAmt] >= [StandardDeductionAmt] Else [DeductionsAmt] = [ScheduleADeductionAmt],,
26,math_validation,F1040-035-01,1040,WARNING,//Return/ReturnData/IRS1040/MortgageInterestAmt,Mortgage interest deduction should reconcile with 1098 amounts,If [IRS1098] is attached Then [MortgageInterestAmt] <= SUM([IRS1098].MortgageInterestAmt),,
27,math_validation,F1040-016-01,1040,ERROR,//Return/ReturnData/IRS1040/SignatureDt,Return must have a valid signature date not in the future,[SignatureDt] is present AND [SignatureDt] <= [ReturnProcessingDt],,
28,math_validation,F1040-007-01,1040,ERROR,//Return/ReturnData/IRS1040/AmountOwedAmt,Amount owed must equal total tax minus total payments when tax exceeds payments,If [TotalTaxAmt] > [TotalPaymentsAmt] Then [AmountOwedAmt] = [TotalTaxAmt] - [TotalPaymentsAmt],,
29,math_validation,F1040-004-01,1040,ERROR,//Return/ReturnData/IRS1040/TotalTaxAmt,Total tax must equal sum of all tax liability components,[TotalTaxAmt] = [IncomeTaxAmt] + [AlternativeMinimumTaxAmt] + [ExcessAdvancePremiumTaxCreditRepayAmt] + [SelfEmploymentTaxAmt] + [UnreportedSSTaxAmt] + [AdditionalTaxOnIRAAmt] + [HouseholdEmploymentTaxAmt] + [NetInvestmentIncomeTaxAmt] + [AdditionalMedicareTaxAmt],,
30,math_validation,F1040-001-01,1040,ERROR,//Return/ReturnData/IRS1040/TotalIncomeAmt,Total income must equal the sum of all income line items,[TotalIncomeAmt] = [WagesSalariesTipsAmt] + [TaxableInterestAmt] + [OrdinaryDividendsAmt] + [IRADistributionsAmt] + [PensionsAnnuitiesAmt] + [SocialSecurityBenefitsAmt] + [OtherIncomeAmt],,
31,other,F1040-019-01,1040,ERROR,//Return/ReturnData/IRS1040/IPPINNum,IP PIN must match IRS records if taxpayer has been assigned one,If [IPPINAssignedInd] = true Then [IPPINNum] matches IRS_IPPIN_DATABASE,,
32,other,F1040-051-01,1040,ERROR,//Return/ReturnData/IRS1040/StandardDeductionAmt,Standard deduction for Single filers in 2024 is 14600,If [FilingStatusCd] = 1 AND [ItemizedOrStandardCd] = 'S' Then [StandardDeductionAmt] = 14600,,
33,other,F1040-054-01,1040,ERROR,//Return/ReturnData/IRS1040/StandardDeductionAmt,Standard deduction for MFS filers in 2024 is 14600,If [FilingStatusCd] = 3 AND [ItemizedOrStandardCd] = 'S' Then [StandardDeductionAmt] = 14600,,
34,other,F1040-018-01,1040,ERROR,//Return/ReturnData/IRS1040/EFINNum,Electronic filer identification number must be 6 digits,[EFINNum] matches pattern '^\d{6}$',,
35,other,F1040-014-01,1040,ERROR,//Return/ReturnData/IRS1040/SpouseSSN,Spouse SSN required for MFJ or MFS filing status,"If [FilingStatusCd] IN (2, 3) Then [SpouseSSN] is present",,
36,other,F1040-017-01,1040,ERROR,//Return/ReturnData/IRS1040/PreparerSSNOrPTIN,Paid preparer must provide PTIN or SSN if PreparedByOtherThanTaxpayer is true,If [PreparedByOtherThanTaxpayerInd] = true Then [PreparerSSNOrPTIN] is present,,
37,other,F1040-052-01,1040,ERROR,//Return/ReturnData/IRS1040/StandardDeductionAmt,Standard deduction for MFJ filers in 2024 is 29200,If [FilingStatusCd] = 2 AND [ItemizedOrStandardCd] = 'S' Then [StandardDeductionAmt] = 29200,,
38,other,F1040-012-01,1040,ERROR,//Return/ReturnData/IRS1040/FilingStatusCd,Filing status code must be a valid value (1=Single 2=MFJ 3=MFS 4=HOH 5=QSS),"[FilingStatusCd] IN (1, 2, 3, 4, 5)",,
39,other,F1040-040-01,1040,WARNING,//Return/ReturnData/IRS1040/EarnedIncomeCreditAmt,EIC amount must not exceed maximum for filing status and child count,"[EarnedIncomeCreditAmt] <= EIC_MAX_TABLE([FilingStatusCd], [EICQualifyingChildrenCnt], 2024)",,
40,other,F1040-020-01,1040,ERROR,//Return/ReturnData/IRS1040/PrimarySSN,Primary SSN must not have been used on a previously accepted return for this tax year,[PrimarySSN] NOT IN IRS_ACCEPTED_RETURNS_DATABASE FOR TaxYear = 2024,,
