RULE_ID,RULE_TYPE,FORM_FAMILY,FIELD_PATH,RULE_TEXT,RULE_EXPRESSION,ERROR_CODE,SEVERITY,TAX_YEAR,SCHEMA_VERSION
F1040-011-01,REJECT,1040,//Return/ReturnData/IRS1040/TaxYearCd,Tax year in return must be 2024,"[TaxYearCd] = 2024",IND-011-01,ERROR,2024,5.2
F1040-012-01,REJECT,1040,//Return/ReturnData/IRS1040/FilingStatusCd,Filing status code must be a valid value (1=Single 2=MFJ 3=MFS 4=HOH 5=QSS),"[FilingStatusCd] IN (1, 2, 3, 4, 5)",IND-012-01,ERROR,2024,5.2
F1040-013-01,REJECT,1040,//Return/ReturnData/IRS1040/PrimarySSN,Primary taxpayer SSN must be present and valid format,"[PrimarySSN] is present AND [PrimarySSN] matches pattern '^\d{3}-\d{2}-\d{4}$'",IND-013-01,ERROR,2024,5.2
F1040-014-01,REJECT,1040,//Return/ReturnData/IRS1040/SpouseSSN,Spouse SSN required for MFJ or MFS filing status,"If [FilingStatusCd] IN (2, 3) Then [SpouseSSN] is present",IND-014-01,ERROR,2024,5.2
F1040-015-01,REJECT,1040,//Return/ReturnData/IRS1040/PrimaryBirthDt,Primary taxpayer date of birth must be present,"[PrimaryBirthDt] is present",IND-015-01,ERROR,2024,5.2
F1040-016-01,REJECT,1040,//Return/ReturnData/IRS1040/SignatureDt,Return must have a valid signature date not in the future,"[SignatureDt] is present AND [SignatureDt] <= [ReturnProcessingDt]",IND-016-01,ERROR,2024,5.2
F1040-017-01,REJECT,1040,//Return/ReturnData/IRS1040/PreparerSSNOrPTIN,Paid preparer must provide PTIN or SSN if PreparedByOtherThanTaxpayer is true,"If [PreparedByOtherThanTaxpayerInd] = true Then [PreparerSSNOrPTIN] is present",IND-017-01,ERROR,2024,5.2
F1040-018-01,REJECT,1040,//Return/ReturnData/IRS1040/EFINNum,Electronic filer identification number must be 6 digits,"[EFINNum] matches pattern '^\d{6}$'",IND-018-01,ERROR,2024,5.2
F1040-019-01,REJECT,1040,//Return/ReturnData/IRS1040/IPPINNum,IP PIN must match IRS records if taxpayer has been assigned one,"If [IPPINAssignedInd] = true Then [IPPINNum] matches IRS_IPPIN_DATABASE",IND-019-01,ERROR,2024,5.2
F1040-020-01,REJECT,1040,//Return/ReturnData/IRS1040/PrimarySSN,Primary SSN must not have been used on a previously accepted return for this tax year,"[PrimarySSN] NOT IN IRS_ACCEPTED_RETURNS_DATABASE FOR TaxYear = 2024",IND-031-04,ERROR,2024,5.2
F1040-021-01,REJECT,1040,//Return/ReturnData/IRS8960,Form 8960 required when net investment income tax is greater than zero,"If [NetInvestmentIncomeTaxAmt] > 0 Then [IRS8960] must be attached",IND-021-01,ERROR,2024,5.2
F1040-022-01,REJECT,1040,//Return/ReturnData/IRS6251,Form 6251 required when alternative minimum tax is greater than zero,"If [AlternativeMinimumTaxAmt] > 0 Then [IRS6251] must be attached",IND-022-01,ERROR,2024,5.2
F1040-023-01,REJECT,1040,//Return/ReturnData/IRS1040ScheduleSE,Schedule SE required when self-employment tax is present,"If [SelfEmploymentTaxAmt] > 0 Then [IRS1040ScheduleSE] must be attached",IND-023-01,ERROR,2024,5.2
F1040-024-01,REJECT,1040,//Return/ReturnData/IRS1040ScheduleA,Schedule A required when taxpayer itemizes deductions,"If [ItemizedOrStandardCd] = 'I' Then [IRS1040ScheduleA] must be attached",IND-024-01,ERROR,2024,5.2
F1040-025-01,REJECT,1040,//Return/ReturnData/IRS1040ScheduleB,Schedule B required when taxable interest or ordinary dividends exceed 1500,"If [TaxableInterestAmt] > 1500 OR [OrdinaryDividendsAmt] > 1500 Then [IRS1040ScheduleB] must be attached",IND-025-01,ERROR,2024,5.2
F1040-026-01,REJECT,1040,//Return/ReturnData/IRS1040ScheduleC,Schedule C required when self-employment income is present,"If [SelfEmploymentNetProfitAmt] != 0 Then [IRS1040ScheduleC] must be attached",IND-026-01,ERROR,2024,5.2
F1040-027-01,REJECT,1040,//Return/ReturnData/IRS1040ScheduleD,Schedule D required when capital gains or losses are reported,"If [CapitalGainOrLossAmt] != 0 Then [IRS1040ScheduleD] must be attached",IND-027-01,ERROR,2024,5.2
F1040-028-01,REJECT,1040,//Return/ReturnData/IRS1040ScheduleE,Schedule E required when supplemental income or loss is present,"If [SupplementalIncomeOrLossAmt] != 0 Then [IRS1040ScheduleE] must be attached",IND-028-01,ERROR,2024,5.2
F1040-029-01,REJECT,1040,//Return/ReturnData/IRS1116,Form 1116 required when foreign tax credit is claimed,"If [ForeignTaxCreditAmt] > 0 Then [IRS1116] must be attached",IND-029-01,ERROR,2024,5.2
F1040-030-01,REJECT,1040,//Return/ReturnData/IRS8812,Form 8812 required when additional child tax credit is claimed,"If [AdditionalChildTaxCreditAmt] > 0 Then [IRS8812] must be attached",IND-030-01,ERROR,2024,5.2
F1040-031-01,ALERT,1040,//Return/ReturnData/IRS1040/WagesSalariesTipsAmt,Wages reported on 1040 must reconcile with W-2 wages attached,"[WagesSalariesTipsAmt] = SUM([IRS W2].WagesAmt)",IND-031-01,WARNING,2024,5.2
F1040-032-01,ALERT,1040,//Return/ReturnData/IRS1040/FederalIncomeTaxWithheldAmt,Federal withholding on 1040 must reconcile with W-2 withholding,"[FederalIncomeTaxWithheldAmt] >= SUM([IRS W2].FederalIncomeTaxWithheldAmt)",IND-032-01,WARNING,2024,5.2
F1040-033-01,ALERT,1040,//Return/ReturnData/IRS1040/TaxableInterestAmt,Taxable interest should reconcile with 1099-INT amounts attached,"If [IRS1099INT] is attached Then ABS([TaxableInterestAmt] - SUM([IRS1099INT].InterestIncomeAmt)) <= 1",IND-033-01,WARNING,2024,5.2
F1040-034-01,ALERT,1040,//Return/ReturnData/IRS1040/OrdinaryDividendsAmt,Ordinary dividends should reconcile with 1099-DIV amounts attached,"If [IRS1099DIV] is attached Then ABS([OrdinaryDividendsAmt] - SUM([IRS1099DIV].OrdinaryDividendsAmt)) <= 1",IND-034-01,WARNING,2024,5.2
F1040-035-01,ALERT,1040,//Return/ReturnData/IRS1040/MortgageInterestAmt,Mortgage interest deduction should reconcile with 1098 amounts,"If [IRS1098] is attached Then [MortgageInterestAmt] <= SUM([IRS1098].MortgageInterestAmt)",IND-035-01,WARNING,2024,5.2
F1040-036-01,ALERT,1040,//Return/ReturnData/IRS1040/AdjustedGrossIncomeAmt,AGI increase of more than 25 percent from prior year warrants review,"If [PriorYearAGIAmt] > 0 Then [AdjustedGrossIncomeAmt] / [PriorYearAGIAmt] <= 1.25",IND-036-01,WARNING,2024,5.2
F1040-037-01,ALERT,1040,//Return/ReturnData/IRS1040/CharitableContributionsAmt,Charitable contributions exceeding 50 percent of AGI require Form 8283,"If [CharitableContributionsAmt] > [AdjustedGrossIncomeAmt] * 0.5 Then [IRS8283] must be attached",IND-037-01,WARNING,2024,5.2
F1040-038-01,ALERT,1040,//Return/ReturnData/IRS1040/MedicalExpensesAmt,Medical expense deduction limited to expenses exceeding 7.5 percent of AGI,"[MedicalExpensesDeductionAmt] <= MAX(0, [MedicalExpensesAmt] - [AdjustedGrossIncomeAmt] * 0.075)",IND-038-01,WARNING,2024,5.2
F1040-039-01,ALERT,1040,//Return/ReturnData/IRS1040/RefundAmt,Large refund of more than 10000 warrants secondary review,"If [RefundAmt] > 10000 Then FLAG for secondary_review",IND-039-01,WARNING,2024,5.2
F1040-040-01,ALERT,1040,//Return/ReturnData/IRS1040/EarnedIncomeCreditAmt,EIC amount must not exceed maximum for filing status and child count,"[EarnedIncomeCreditAmt] <= EIC_MAX_TABLE([FilingStatusCd], [EICQualifyingChildrenCnt], 2024)",IND-040-01,WARNING,2024,5.2
F1040-041-01,DATABASE,1040,//Return/ReturnData/IRS1040/StateLocalTaxDeductionAmt,SALT deduction limited to 10000 for MFJ Single and HOH filers,"If [FilingStatusCd] IN (1, 2, 4, 5) Then [StateLocalTaxDeductionAmt] <= 10000",IND-041-01,ERROR,2024,5.2
F1040-042-01,DATABASE,1040,//Return/ReturnData/IRS1040/StateLocalTaxDeductionAmt,SALT deduction limited to 5000 for MFS filers,"If [FilingStatusCd] = 3 Then [StateLocalTaxDeductionAmt] <= 5000",IND-042-01,ERROR,2024,5.2
F1040-043-01,DATABASE,1040,//Return/ReturnData/IRS1040/IRADeductionAmt,Traditional IRA deduction phase-out applies for workplace plan participants (Single filers),"If [WorkplacePlanParticipantInd] = true AND [FilingStatusCd] = 1 AND [AdjustedGrossIncomeAmt] > 77000 Then [IRADeductionAmt] <= MAX(0, 7000 - ([AdjustedGrossIncomeAmt] - 77000) / 10000 * 7000)",IND-043-01,ERROR,2024,5.2
F1040-044-01,DATABASE,1040,//Return/ReturnData/IRS1040/IRADeductionAmt,Traditional IRA deduction phase-out applies for workplace plan participants (MFJ filers),"If [WorkplacePlanParticipantInd] = true AND [FilingStatusCd] = 2 AND [AdjustedGrossIncomeAmt] > 123000 Then [IRADeductionAmt] <= MAX(0, 7000 - ([AdjustedGrossIncomeAmt] - 123000) / 10000 * 7000)",IND-044-01,ERROR,2024,5.2
F1040-045-01,DATABASE,1040,//Return/ReturnData/IRS1040/ChildTaxCreditAmt,Child tax credit phases out at 200000 AGI for MFJ filers (400000 in 2024),"If [FilingStatusCd] = 2 AND [AdjustedGrossIncomeAmt] > 400000 Then [ChildTaxCreditAmt] <= MAX(0, [QualifyingChildrenCnt] * 2000 - CEIL(([AdjustedGrossIncomeAmt] - 400000) / 1000) * 200)",IND-045-01,ERROR,2024,5.2
F1040-046-01,DATABASE,1040,//Return/ReturnData/IRS1040/ChildTaxCreditAmt,Child tax credit phases out at 200000 AGI for non-MFJ filers,"If [FilingStatusCd] != 2 AND [AdjustedGrossIncomeAmt] > 200000 Then [ChildTaxCreditAmt] <= MAX(0, [QualifyingChildrenCnt] * 2000 - CEIL(([AdjustedGrossIncomeAmt] - 200000) / 1000) * 200)",IND-046-01,ERROR,2024,5.2
F1040-047-01,DATABASE,1040,//Return/ReturnData/IRS1040/NetInvestmentIncomeTaxAmt,NIIT of 3.8 percent applies to lesser of NII or excess MAGI over threshold (MFJ 250000),"If [FilingStatusCd] = 2 AND [ModifiedAGIAmt] > 250000 Then [NetInvestmentIncomeTaxAmt] = MIN([NetInvestmentIncomeAmt], [ModifiedAGIAmt] - 250000) * 0.038",IND-047-01,ERROR,2024,5.2
F1040-048-01,DATABASE,1040,//Return/ReturnData/IRS1040/NetInvestmentIncomeTaxAmt,NIIT of 3.8 percent applies for Single filers over 200000 MAGI,"If [FilingStatusCd] = 1 AND [ModifiedAGIAmt] > 200000 Then [NetInvestmentIncomeTaxAmt] = MIN([NetInvestmentIncomeAmt], [ModifiedAGIAmt] - 200000) * 0.038",IND-048-01,ERROR,2024,5.2
F1040-049-01,DATABASE,1040,//Return/ReturnData/IRS1040/AdditionalMedicareTaxAmt,Additional Medicare Tax of 0.9 percent on wages over 250000 for MFJ filers,"If [FilingStatusCd] = 2 AND ([WagesSalariesTipsAmt] + [SelfEmploymentNetProfitAmt]) > 250000 Then [AdditionalMedicareTaxAmt] >= (([WagesSalariesTipsAmt] + [SelfEmploymentNetProfitAmt]) - 250000) * 0.009",IND-049-01,ERROR,2024,5.2
F1040-050-01,DATABASE,1040,//Return/ReturnData/IRS1040/AdditionalMedicareTaxAmt,Additional Medicare Tax of 0.9 percent on wages over 200000 for Single filers,"If [FilingStatusCd] = 1 AND ([WagesSalariesTipsAmt] + [SelfEmploymentNetProfitAmt]) > 200000 Then [AdditionalMedicareTaxAmt] >= (([WagesSalariesTipsAmt] + [SelfEmploymentNetProfitAmt]) - 200000) * 0.009",IND-050-01,ERROR,2024,5.2
F1040-051-01,DATABASE,1040,//Return/ReturnData/IRS1040/StandardDeductionAmt,Standard deduction for Single filers in 2024 is 14600,"If [FilingStatusCd] = 1 AND [ItemizedOrStandardCd] = 'S' Then [StandardDeductionAmt] = 14600",IND-051-01,ERROR,2024,5.2
F1040-052-01,DATABASE,1040,//Return/ReturnData/IRS1040/StandardDeductionAmt,Standard deduction for MFJ filers in 2024 is 29200,"If [FilingStatusCd] = 2 AND [ItemizedOrStandardCd] = 'S' Then [StandardDeductionAmt] = 29200",IND-052-01,ERROR,2024,5.2
F1040-053-01,DATABASE,1040,//Return/ReturnData/IRS1040/StandardDeductionAmt,Standard deduction for HOH filers in 2024 is 21900,"If [FilingStatusCd] = 4 AND [ItemizedOrStandardCd] = 'S' Then [StandardDeductionAmt] = 21900",IND-053-01,ERROR,2024,5.2
F1040-054-01,DATABASE,1040,//Return/ReturnData/IRS1040/StandardDeductionAmt,Standard deduction for MFS filers in 2024 is 14600,"If [FilingStatusCd] = 3 AND [ItemizedOrStandardCd] = 'S' Then [StandardDeductionAmt] = 14600",IND-054-01,ERROR,2024,5.2
F1040-055-01,DATABASE,1040,//Return/ReturnData/IRS1040/Traditional401KContributionAmt,401k employee contribution cannot exceed annual limit of 23000 for taxpayers under age 50,"If [PrimaryAge] < 50 Then [Traditional401KContributionAmt] <= 23000",IND-055-01,ERROR,2024,5.2
F1040-056-01,DATABASE,1040,//Return/ReturnData/IRS1040/Traditional401KContributionAmt,401k employee contribution cannot exceed annual limit of 30500 for taxpayers age 50 or older (catch-up included),"If [PrimaryAge] >= 50 Then [Traditional401KContributionAmt] <= 30500",IND-056-01,ERROR,2024,5.2
F1040-057-01,DATABASE,1040,//Return/ReturnData/IRS1040/HSAContributionAmt,HSA contribution limit for self-only HDHP coverage is 4150 in 2024,"If [HSACoverageTypeCd] = 'SELF' AND [PrimaryAge] < 55 Then [HSAContributionAmt] <= 4150",IND-057-01,ERROR,2024,5.2
F1040-058-01,DATABASE,1040,//Return/ReturnData/IRS1040/HSAContributionAmt,HSA contribution limit for family HDHP coverage is 8300 in 2024,"If [HSACoverageTypeCd] = 'FAMILY' AND [PrimaryAge] < 55 Then [HSAContributionAmt] <= 8300",IND-058-01,ERROR,2024,5.2
F1040-059-01,DATABASE,1040,//Return/ReturnData/IRS1040/StudentLoanInterestDeductionAmt,Student loan interest deduction phases out for Single filers at MAGI over 75000,"If [FilingStatusCd] = 1 AND [ModifiedAGIAmt] > 75000 Then [StudentLoanInterestDeductionAmt] <= MAX(0, 2500 - ([ModifiedAGIAmt] - 75000) / 15000 * 2500)",IND-059-01,ERROR,2024,5.2
F1040-060-01,DATABASE,1040,//Return/ReturnData/IRS1040/StudentLoanInterestDeductionAmt,Student loan interest deduction phases out for MFJ filers at MAGI over 155000,"If [FilingStatusCd] = 2 AND [ModifiedAGIAmt] > 155000 Then [StudentLoanInterestDeductionAmt] <= MAX(0, 2500 - ([ModifiedAGIAmt] - 155000) / 30000 * 2500)",IND-060-01,ERROR,2024,5.2
